company,date,round,user_metric_type,user_count,valuation_usd,era,source
Poke,2025-09,Seed ($15M),beta_users,6000,100000000,recent,"TechStartups / TechFundingNews — $15M seed at $100M+ valuation; General Catalyst led"
Character.AI,2023-03,Series A ($150M),monthly_visits,100000000,1000000000,recent,"CNBC / BusinessWire — $150M at $1B valuation; a16z led; ~100M monthly visits (SimilarWeb)"
Character.AI,2024-08,Google licensing deal,MAU,28000000,2500000000,recent,"The Information / Google confirmation — $2.7B total / $2.5B investor buyout; ~28M MAU peak mid-2024"
BeReal,2021-06,Series A ($30M),DAU,300000,150000000,recent,"Finsmes / TechCrunch — $30M at $150M post-money; a16z + Accel led; ~300K DAU"
BeReal,2022-05,Series B ($60M),DAU,7900000,600000000,recent,"TechCrunch — $60M at $600M pre-money; DST Global led; ~7.9M DAU (July 2022)"
BeReal,2024-06,Acquisition by Voodoo,MAU,40000000,537000000,recent,"TechCrunch — EUR 500M (~$537M) acquisition; ~40M MAU / ~6M DAU (declined from peak)"
Perplexity,2024-01,Series B ($73.6M),MAU,10000000,520000000,recent,"Perplexity blog / Bloomberg — $73.6M at $520M; IVP led; ~10M MAU"
Perplexity,2024-06,Series B ext ($250M),MAU,15000000,3000000000,recent,"TechCrunch — $250M at ~$3B; SoftBank Vision Fund 2; ~15M MAU (estimated)"
Perplexity,2024-12,Series C ($500M),MAU,20000000,9000000000,recent,"TechCrunch — $500M at $9B; ~15-20M MAU (estimated)"
Perplexity,2025-06,Series D ($500M),MAU,30000000,14000000000,recent,"CNBC — $500M at $14B; Accel led; ~30M MAU (estimated)"
Perplexity,2025-09,Series D-2 ($200M),MAU,45000000,20000000000,recent,"TechCrunch — $200M at $20B; ~45M MAU"
Noplace,2024-07,Series A1 ($15M),waitlist,500000,90000000,recent,"TechCrunch — $15M at ~$75M pre-money ($90M post); 776 + Forerunner; 500K waitlist; #1 App Store"
Hopper,2020-05,Series E ($70M),cumulative_downloads,70000000,1000000000,recent,"Skift — $70M at ~$1B valuation; 70M cumulative downloads"
Hopper,2021-08,Series G ($175M),cumulative_downloads,70000000,3500000000,recent,"TechCrunch — $175M at $3.5B; 70M+ downloads"
Hopper,2022-02,Secondary ($35M),cumulative_downloads,70000000,5000000000,recent,"TechCrunch — secondary sale at $5B valuation; 15M downloads in 2021"
Strava,2014-10,Series D ($18.5M),registered_users,10000000,200000000,historical,"Forge/Inc.com — ~$200M valuation est; Sequoia led; ~10M users"
Strava,2020-11,Series F ($110M),registered_users,70000000,1500000000,recent,"TechCrunch — $110M at $1.5B; TCV + Sequoia; 70M+ users"
Strava,2025-05,Series F ext ($50M),registered_users,150000000,2200000000,recent,"Crunchbase News / PYMNTS — $50M at $2.2B; 150M+ users"
AllTrails,2018-10,Spectrum Equity recap,registered_users,9000000,75000000,historical,"TechCrunch — $75M deal; 9M users; 12M+ downloads"
AllTrails,2021-11,Permira ($150M),registered_users,30000000,875000000,recent,"TechCrunch / PRNewswire — $150M minority investment; 30M users; implied val $750M-$1B (midpoint $875M)"
Instagram,2011-02,Series A ($7M),MAU,1750000,25000000,historical,"TechCrunch — $7M at ~$25M valuation; Benchmark led; 1.75M users"
Instagram,2012-04,Series B ($50M),registered_users,30000000,500000000,historical,"TechCrunch — $50M at $500M; Sequoia/Thrive/Greylock; ~30M users (iPhone only)"
Instagram,2012-04,Acquisition by Facebook,registered_users,30000000,1000000000,historical,"TechCrunch / CNN — acquired for $1B; ~30M users; final price ~$715M after FB stock decline"
Airbnb,2009-01,Seed (YC $20K),registered_users,10000,2000000,historical,"Y Combinator — $20K for ~6% ($333K implied); 10K users by Mar 2009; est seed val ~$2M"
Airbnb,2009-04,Seed (Sequoia $600K),registered_users,10000,10000000,historical,"Sequoia Capital — $600K seed; est valuation ~$10M"
Airbnb,2012,Series B ($112M),registered_users,6000000,1300000000,historical,"TechCrunch — $112M at $1.3B; 6M users"
Airbnb,2014-04,Series D ($450M),registered_users,50000000,10000000000,historical,"Inc. Magazine / TechCrunch — $450M at $10B; TPG led; 50M users"
Airbnb,2016-09,Series F ($555M),registered_users,100000000,30000000000,historical,"DemandSage / press — $555M at $30B; 100M users"
Airbnb,2019,Pre-IPO internal,registered_users,200000000,35000000000,historical,"DemandSage / CNBC — est internal val ~$35B; 200M users"
Kayak,2005-10,Series B,UMV,3000000,17000000,historical,"Reuters Events / S-1 — ~3M UMV; pre-money ~$17M from S-1 filing"
Kayak,2007-12,Series D,UMV,6000000,250000000,historical,"Product Growth Deep Dive / S-1 — 6M UMV; pre-money ~$250M"
Kayak,2012-06,IPO,UMV,8300000,1270000000,historical,"TechCrunch / comScore — IPO close $33.18; market cap $1.27B; 8.3M US UMV"
